"pooled_sample","treatment","plot","month","distance","bearing","sx","sy","ba_sum_5m","ani_disease_1mai","ani_disease_2mai","ani_disease_3mai","ani_disease_4mai"
"1","vnaa140_2023","virulent","may",0,NA,0,0,1773.45639468964,1232.18032891084,4396.94090851075,6880.29556642237,9384.23990672867
"2","vnaa140_2023","virulent","july",0,NA,0,0,1773.45639468964,1232.18032891084,4396.94090851075,6880.29556642237,9384.23990672867
"3","vnaa140_2023","virulent","september",0,NA,0,0,1773.45639468964,1232.18032891084,4396.94090851075,6880.29556642237,9384.23990672867
"4","vnaa140_2023","virulent","may",10,0,0,10,659.70255156,793.615527264395,2787.49687253664,4628.4671968391,6468.62889525844
"5","vnaa140_2023","virulent","july",10,0,0,10,659.70255156,793.615527264395,2787.49687253664,4628.4671968391,6468.62889525844
"6","vnaa140_2023","virulent","september",10,0,0,10,659.70255156,793.615527264395,2787.49687253664,4628.4671968391,6468.62889525844
"7","vnaa140_2023","virulent","may",10,90,10,6.12303176911189e-16,302.722068103059,464.796517171561,1591.26356468092,2483.52980285124,3439.20185380427
"8","vnaa140_2023","virulent","july",10,90,10,6.12303176911189e-16,302.722068103059,464.796517171561,1591.26356468092,2483.52980285124,3439.20185380427
"9","vnaa140_2023","virulent","september",10,90,10,6.12303176911189e-16,302.722068103059,464.796517171561,1591.26356468092,2483.52980285124,3439.20185380427
"10","vnaa140_2023","virulent","may",10,180,1.22460635382238e-15,-10,0,367.349337659862,1321.86397483385,2063.7400007941,2783.23142113046
"11","vnaa140_2023","virulent","july",10,180,1.22460635382238e-15,-10,0,367.349337659862,1321.86397483385,2063.7400007941,2783.23142113046
"12","vnaa140_2023","virulent","september",10,180,1.22460635382238e-15,-10,0,367.349337659862,1321.86397483385,2063.7400007941,2783.23142113046
"13","vnaa140_2023","virulent","may",10,270,-10,-1.83690953073357e-15,186.01930538,656.579472949114,2413.82084435725,3810.99653577824,5014.93864894614
"14","vnaa140_2023","virulent","july",10,270,-10,-1.83690953073357e-15,186.01930538,656.579472949114,2413.82084435725,3810.99653577824,5014.93864894614
"15","vnaa140_2023","virulent","september",10,270,-10,-1.83690953073357e-15,186.01930538,656.579472949114,2413.82084435725,3810.99653577824,5014.93864894614
"16","vnaa140_2019","attenuated","may",0,NA,0,0,2026.20309455032,1115.54946063653,3954.5614741789,7695.62559525985,12743.3194100483
"17","vnaa140_2019","attenuated","july",0,NA,0,0,2026.20309455032,1115.54946063653,3954.5614741789,7695.62559525985,12743.3194100483
"18","vnaa140_2019","attenuated","september",0,NA,0,0,2026.20309455032,1115.54946063653,3954.5614741789,7695.62559525985,12743.3194100483
"19","vnaa140_2019","attenuated","may",10,0,0,10,1183.03615076176,607.523349022268,2545.36387444662,5484.14021612148,8655.59787972776
"20","vnaa140_2019","attenuated","july",10,0,0,10,1183.03615076176,607.523349022268,2545.36387444662,5484.14021612148,8655.59787972776
"21","vnaa140_2019","attenuated","september",10,0,0,10,1183.03615076176,607.523349022268,2545.36387444662,5484.14021612148,8655.59787972776
"22","vnaa140_2019","attenuated","may",10,90,10,6.12303176911189e-16,747.401511227188,353.836030831736,1291.16936646855,2559.8978917455,4414.00451941562
"23","vnaa140_2019","attenuated","july",10,90,10,6.12303176911189e-16,747.401511227188,353.836030831736,1291.16936646855,2559.8978917455,4414.00451941562
"24","vnaa140_2019","attenuated","september",10,90,10,6.12303176911189e-16,747.401511227188,353.836030831736,1291.16936646855,2559.8978917455,4414.00451941562
"25","vnaa140_2019","attenuated","may",10,180,1.22460635382238e-15,-10,65.7143254098069,433.897133838744,1467.32830493327,2735.12720112028,4629.63293573978
"26","vnaa140_2019","attenuated","july",10,180,1.22460635382238e-15,-10,65.7143254098069,433.897133838744,1467.32830493327,2735.12720112028,4629.63293573978
"27","vnaa140_2019","attenuated","september",10,180,1.22460635382238e-15,-10,65.7143254098069,433.897133838744,1467.32830493327,2735.12720112028,4629.63293573978
"28","vnaa140_2019","attenuated","may",10,270,-10,-1.83690953073357e-15,64.5597545387708,452.218371815185,1643.1315038933,3232.65121256339,5197.24093405077
"29","vnaa140_2019","attenuated","july",10,270,-10,-1.83690953073357e-15,64.5597545387708,452.218371815185,1643.1315038933,3232.65121256339,5197.24093405077
"30","vnaa140_2019","attenuated","september",10,270,-10,-1.83690953073357e-15,64.5597545387708,452.218371815185,1643.1315038933,3232.65121256339,5197.24093405077
"31","vnaa140_control","no_fungus_control","may",0,NA,0,0,1665.42383004588,0,0,326.731154077133,980.193462231398
"32","vnaa140_control","no_fungus_control","july",0,NA,0,0,1665.42383004588,0,0,326.731154077133,980.193462231398
"33","vnaa140_control","no_fungus_control","september",0,NA,0,0,1665.42383004588,0,0,326.731154077133,980.193462231398
"34","vnaa140_control","no_fungus_control","may",10,0,0,10,706.862580841975,0,0,574.839493209915,1724.51847962975
"35","vnaa140_control","no_fungus_control","july",10,0,0,10,706.862580841975,0,0,574.839493209915,1724.51847962975
"36","vnaa140_control","no_fungus_control","september",10,0,0,10,706.862580841975,0,0,574.839493209915,1724.51847962975
"37","vnaa140_control","no_fungus_control","may",10,90,10,6.12303176911189e-16,151.217995549173,0,0,152.9534913026,458.8604739078
"38","vnaa140_control","no_fungus_control","july",10,90,10,6.12303176911189e-16,151.217995549173,0,0,152.9534913026,458.8604739078
"39","vnaa140_control","no_fungus_control","september",10,90,10,6.12303176911189e-16,151.217995549173,0,0,152.9534913026,458.8604739078
"40","vnaa140_control","no_fungus_control","may",10,180,1.22460635382238e-15,-10,170.6738522,0,0,76.8631478057239,230.589443417172
"41","vnaa140_control","no_fungus_control","july",10,180,1.22460635382238e-15,-10,170.6738522,0,0,76.8631478057239,230.589443417172
"42","vnaa140_control","no_fungus_control","september",10,180,1.22460635382238e-15,-10,170.6738522,0,0,76.8631478057239,230.589443417172
"43","vnaa140_control","no_fungus_control","may",10,270,-10,-1.83690953073357e-15,18.4731339365782,0,0,126.529259682703,379.58777904811
"44","vnaa140_control","no_fungus_control","july",10,270,-10,-1.83690953073357e-15,18.4731339365782,0,0,126.529259682703,379.58777904811
"45","vnaa140_control","no_fungus_control","september",10,270,-10,-1.83690953073357e-15,18.4731339365782,0,0,126.529259682703,379.58777904811
