"alpha","beta","mean_reach_m","mean_index","sd_index","rho_primary","rho_ba_5m"
0,0.05,20,50.8962226879348,33.0574913882079,0.896428571428571,0.439285714285714
0,0.1,10,33.9053654925842,24.3616763970188,0.967857142857143,0.478571428571429
0,0.15,6.66666666666667,23.5768494446994,19.4296836448716,0.971428571428571,0.482142857142857
0,0.2,5,17.0753810744354,16.2412488572371,0.975,0.492857142857143
0,0.3,3.33333333333333,9.9817121532389,12.136756876066,0.971428571428571,0.525
0,0.5,2,4.69929583216114,7.62487988846644,0.907142857142857,0.642857142857143
1,0.05,20,658.991747845305,414.172086796429,1,0.503571428571428
1,0.1,10,438.3974608603,306.704776606992,0.992857142857143,0.507142857142857
1,0.15,6.66666666666667,304.880822302813,245.322270216692,0.992857142857143,0.507142857142857
1,0.2,5,221.072619469103,205.170924188462,0.996428571428571,0.517857142857143
1,0.3,3.33333333333333,129.753565972282,152.923479846098,0.975,0.553571428571428
1,0.5,2,61.4839527066189,95.5118484565366,0.885714285714286,0.667857142857143
2,0.05,20,9620.21513358034,6099.13470954368,0.953571428571428,0.492857142857143
2,0.1,10,6383.56095099268,4511.1283355374,0.989285714285714,0.507142857142857
2,0.15,6.66666666666667,4433.58573620563,3593.20709968939,1,0.503571428571428
2,0.2,5,3212.99352438452,2984.84940650277,0.992857142857143,0.55
2,0.3,3.33333333333333,1884.23184398168,2188.04311673004,0.960714285714286,0.575
2,0.5,2,886.816105690146,1324.44738445414,0.885714285714286,0.667857142857143
