"species","response","model","ic_type","K","n","IC","dAICc","weight","best"
"Rudbeckia hirta","Total length","null (plot only)","AICc",4,40,311.51,0,0.763,"*"
"Rudbeckia hirta","Total length","disease-influence","AICc",5,40,313.85,2.34,0.237,""
"Rudbeckia hirta","Root:shoot ratio","null (plot only)","AICc",4,40,73.42,1.41,0.331,""
"Rudbeckia hirta","Root:shoot ratio","disease-influence","AICc",5,40,72.01,0,0.669,"*"
"Rudbeckia hirta","Germination","null (plot only)","QAICc",4,45,93.71,0,0.699,"*"
"Rudbeckia hirta","Germination","disease-influence","QAICc",5,45,95.4,1.69,0.301,""
"Sorghum halepense","Total length","null (plot only)","AICc",4,44,405.03,0,0.782,"*"
"Sorghum halepense","Total length","disease-influence","AICc",5,44,407.58,2.55,0.218,""
"Sorghum halepense","Root:shoot ratio","null (plot only)","AICc",4,44,52.51,0,0.725,"*"
"Sorghum halepense","Root:shoot ratio","disease-influence","AICc",5,44,54.45,1.94,0.275,""
"Sorghum halepense","Germination","null (plot only)","QAICc",4,45,86.57,0,0.573,"*"
"Sorghum halepense","Germination","disease-influence","QAICc",5,45,87.16,0.59,0.427,""
"Ageratina altissima","Total length","null (plot only)","AICc",4,38,262.38,0,0.665,"*"
"Ageratina altissima","Total length","disease-influence","AICc",5,38,263.76,1.37,0.335,""
"Ageratina altissima","Root:shoot ratio","null (plot only)","AICc",4,38,5.74,0,0.782,"*"
"Ageratina altissima","Root:shoot ratio","disease-influence","AICc",5,38,8.3,2.56,0.218,""
"Ageratina altissima","Germination","null (plot only)","QAICc",4,45,82.44,0,0.78,"*"
"Ageratina altissima","Germination","disease-influence","QAICc",5,45,84.97,2.53,0.22,""
"Achillea millefolium","Total length","null (plot only)","AICc",4,44,290.27,0,0.745,"*"
"Achillea millefolium","Total length","disease-influence","AICc",5,44,292.41,2.14,0.255,""
"Achillea millefolium","Root:shoot ratio","null (plot only)","AICc",4,44,46.69,1.24,0.35,""
"Achillea millefolium","Root:shoot ratio","disease-influence","AICc",5,44,45.45,0,0.65,"*"
"Achillea millefolium","Germination","null (plot only)","QAICc",4,45,62.28,0,0.769,"*"
"Achillea millefolium","Germination","disease-influence","QAICc",5,45,64.69,2.41,0.231,""
